benchmark,run,result
quadratic,baseline,785
quadratic,myopt,412
primes-between,baseline,574100
primes-between,myopt,574100
birthday,baseline,484
birthday,myopt,484
orders,baseline,5352
orders,myopt,5352
sum-check,baseline,5018
sum-check,myopt,5018
palindrome,baseline,298
palindrome,myopt,298
totient,baseline,253
totient,myopt,253
relative-primes,baseline,1923
relative-primes,myopt,1923
hanoi,baseline,99
hanoi,myopt,99
is-decreasing,baseline,127
is-decreasing,myopt,127
check-primes,baseline,8468
check-primes,myopt,8468
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,3038
fitsinside,baseline,10
fitsinside,myopt,10
fact,baseline,229
fact,myopt,229
loopfact,baseline,116
loopfact,myopt,116
recfact,baseline,104
recfact,myopt,104
factors,baseline,72
factors,myopt,72
perfect,baseline,232
perfect,myopt,232
bitshift,baseline,167
bitshift,myopt,167
digital-root,baseline,247
digital-root,myopt,247
up-arrow,baseline,252
up-arrow,myopt,252
sum-divisors,baseline,159
sum-divisors,myopt,159
fibonacci,baseline,1770
fibonacci,myopt,1770
ackermann,baseline,1464231
ackermann,myopt,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,61518
euclid,baseline,563
euclid,myopt,563
binary-fmt,baseline,100
binary-fmt,myopt,100
lcm,baseline,2326
lcm,myopt,2326
gcd,baseline,46
gcd,myopt,46
catalan,baseline,659378
catalan,myopt,659378
armstrong,baseline,133
armstrong,myopt,133
pascals-row,baseline,146
pascals-row,myopt,146
collatz,baseline,169
collatz,myopt,169
sum-bits,baseline,73
sum-bits,myopt,73
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,14
mod_inv,baseline,558
mod_inv,myopt,558
reverse,baseline,46
reverse,myopt,46
fizz-buzz,baseline,3652
fizz-buzz,myopt,3652
bitwise-ops,baseline,1690
bitwise-ops,myopt,1690
cholesky,baseline,3761
cholesky,myopt,3761
mat-inv,baseline,1044
mat-inv,myopt,1044
dead-branch,baseline,1196
dead-branch,myopt,1196
function_call,baseline,timeout
function_call,myopt,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,myopt,142
conjugate-gradient,baseline,1999
conjugate-gradient,myopt,1999
leibniz,baseline,12499997
leibniz,myopt,12499997
n_root,baseline,733
n_root,myopt,733
newton,baseline,217
newton,myopt,217
euler,baseline,1908
euler,myopt,1908
riemann,baseline,298
riemann,myopt,298
mandelbrot,baseline,2720947
mandelbrot,myopt,2720947
norm,baseline,505
norm,myopt,505
cordic,baseline,517
cordic,myopt,517
pow,baseline,36
pow,myopt,36
sqrt,baseline,322
sqrt,myopt,322
quickselect,baseline,279
quickselect,myopt,279
sieve,baseline,3482
sieve,myopt,3482
bubblesort,baseline,253
bubblesort,myopt,253
primitive-root,baseline,11029
primitive-root,myopt,11029
adler32,baseline,6851
adler32,myopt,6851
adj2csr,baseline,56629
adj2csr,myopt,56629
csrmv,baseline,121202
csrmv,myopt,121202
dot-product,baseline,88
dot-product,myopt,88
major-elm,baseline,47
major-elm,myopt,47
max-subarray,baseline,193
max-subarray,myopt,193
mat-mul,baseline,1990407
mat-mul,myopt,1990407
fib,baseline,121
fib,myopt,121
vsmul,baseline,86036
vsmul,myopt,86036
quicksort-hoare,baseline,27333
quicksort-hoare,myopt,27333
quicksort,baseline,264
quicksort,myopt,264
two-sum,baseline,98
two-sum,myopt,incorrect
eight-queens,baseline,1006454
eight-queens,myopt,1006454
binary-search,baseline,78
binary-search,myopt,78
